,emissions_mean,emissions_std,duration_mean,duration_std,gpu_energy_mean,gpu_energy_std
239,0.00014114549050765556,4.651069907191264e-05,8.537876513200354,2.858742705923188,0.00016409352016354,5.50101712387275e-05
240,0.00025243208029339327,0.0001401181281233801,14.496496152199871,6.69026741698025,0.00028042866878718,0.00012948059627520221
241,2.6784409348013368e-05,1.555746793183937e-05,2.1285290718000396,0.11001562045416614,4.0859310465199417e-05,2.160708717347991e-06
242,4.1311566865613136e-05,9.462101881745892e-06,2.4868892192000205,0.2238050532951834,4.7085871002000566e-05,5.108719410891547e-06
243,5.721666172981651e-05,2.01551201747806e-05,3.4062649069999678,0.7849117087728154,6.451038494160454e-05,1.5387491521639792e-05
244,8.399726457151068e-05,4.7484160504916515e-05,4.786676197399902,1.890265195819223,9.153907323116029e-05,3.654072956423247e-05
245,3.682112655506319e-05,2.1054142828053687e-05,2.925543378400107,0.19626495077673164,5.579298907880392e-05,3.6986013472580524e-06
246,0.00032863060301334,5.804329419190801e-05,19.61987443960006,0.5063538108879027,0.00037985947055396,1.0241006428741724e-05
247,9.15799485197852e-05,3.6232329824594544e-05,5.366808360999857,1.3296460751441834,0.00010336319380155711,2.6259705882915407e-05
248,9.886996335374651e-05,8.629750437240612e-05,5.380783742200038,3.9866405479597598,0.0001031870825495779,7.663543918796262e-05
249,4.33884615664273e-05,8.561789337493556e-06,2.627603127199836,0.10247656208768718,4.948203958559938e-05,2.7336259392488334e-06
250,0.00028823686366170003,6.435300472744405e-05,17.781168433200037,5.072418231621244,0.00034396955295314,9.825630680141056e-05
251,6.489085515950766e-05,8.116042322501337e-06,3.943132477599465,0.4093520793204913,7.54331159020044e-05,7.770334059517917e-06
252,4.534902991924713e-05,1.244874501832828e-05,2.7322520238003563,0.4384205556833326,5.181854145479281e-05,9.03781715312408e-06
253,0.00018401352812401074,0.00017271251926145032,15.001007974800268,7.893713160734656,0.0002896792872987584,0.000153446778698523
254,0.00028357252217171705,0.00013064272056032515,16.535265798999898,6.128383141892707,0.00031834203245118,0.00011787008713745127
255,0.00029263782629184,7.87205844704434e-05,17.377281199799835,1.917975203174503,0.00033521765706278,3.737418724691961e-05
256,0.0002076399112600629,0.00014248341631825255,12.17894176180016,7.511283334957277,0.00023511396586876,0.00014624797395537185
257,0.00011360670390909887,0.0001370971013808452,7.066624927999873,6.813394484579625,0.00013620610896480218,0.00013206722238420974
258,0.0004071968740303,7.129075571503735e-05,24.315843038800086,0.7424319870928239,0.00046954365341238,1.434147658057551e-05
259,8.082910429731522e-05,1.5521950342250416e-05,4.879226525000012,0.6702038324808015,9.319235233160211e-05,1.3018459757108044e-05
260,0.00024312973130191998,6.410755829167534e-05,14.398116259400377,1.9149926107183803,0.00027817016698034,3.7403947374087396e-05
261,0.00014304833804108,2.965015161198134e-05,8.562131709200184,0.5705564022518131,0.00016430385366516,1.167917125911864e-05
262,0.00022201919835867844,0.00013987506493711758,13.16558132479986,7.942044357652025,0.0002546307592599791,0.0001541063957125162
263,6.713941835665034e-05,1.3248988692412008e-05,4.0351066688001085,0.526107639482773,7.753911758680287e-05,1.0486535859982324e-05
264,0.0002731658012627066,0.00013701329491208183,15.862709060999986,6.810345609445946,0.0003066512453208002,0.00013152480132873302
265,0.0001736510748854758,0.00013069634082151622,10.632793300400227,7.933299584075229,0.00020484538609837926,0.00015442691193085712
266,8.104852795005904e-05,9.824656246362904e-05,6.2314778923999254,4.24231762905196,0.00011946715112917816,8.257575969297697e-05
267,4.034842000769513e-05,6.756282534351535e-06,2.4637048388001856,0.35983264453229685,4.6577259483998604e-05,6.9972191029033985e-06
268,3.714040733268066e-05,6.744199739485879e-06,2.2671765163999225,0.061606034430664834,4.227047826080021e-05,1.510383967815984e-06
269,0.00031434348064108,9.232101617520282e-05,18.591182939600003,3.434205167090121,0.00035887817599114,6.593815698224775e-05
270,0.0001283742719222457,0.00012939773419166445,7.175096063199999,6.162099498568439,0.0001387048331859766,0.0001197386116957937
271,0.00035229827431586,6.254504653837972e-05,21.047854936200018,0.47081610349381775,0.00040705965898075997,8.799374038941298e-06
272,0.00023652995413840156,0.00017385627368750916,13.314284588799818,8.858952062305864,0.00025744353928799864,0.0001720844207622875
273,0.00017283714777479998,5.8944990236178994e-05,10.712408903599862,4.692853315797905,0.00020665066532035998,9.089150798148841e-05
274,5.601590442271566e-05,9.541395678910019e-06,3.381198776199926,0.14915925749316106,6.444071821920805e-05,2.528368274401995e-06
275,6.41903830519353e-05,1.3679102984083564e-05,3.865617875800126,0.4971264009351642,7.400139253440075e-05,9.43888182639666e-06
276,0.00022810143317672,0.00011571328411992844,13.627387741600069,6.052349748630835,0.00026346259965878,0.00011756229870127911
277,0.00021839363896749997,5.842617354891914e-05,13.28524565819971,4.23865349462605,0.00025637226065316,8.22477443876241e-05
278,0.00031387404597092906,0.00015892196864298125,18.301778100200316,8.272071558495131,0.0003532760603983813,0.00016017680915165577
279,0.00034439309938560003,0.00013330521490508506,20.225765128999956,6.123832837046906,0.00039074075703674,0.00011856140035152327
280,0.00024844692962144215,0.00014633564233726393,18.625689055399743,1.8815326342223075,0.00036035245494838,3.6683843389586353e-05
281,4.376017714061149e-05,8.563548747686462e-06,2.636928228200304,0.12267583331421231,5.007037338959908e-05,2.481205928459254e-06
282,0.00026100626326185994,9.97886582596369e-05,15.551169655400008,4.9839407060005865,0.00030062390716558004,9.663037946764367e-05
283,0.00018916421678138,5.233395872951103e-05,11.233612480599731,1.991540131531891,0.00021732989608589997,3.8196357948527005e-05
284,0.00040296312139848,7.277419429491285e-05,24.060660622399883,0.6896864827635902,0.00046572953924996,1.3017548742347252e-05
285,5.904699262257079e-05,3.485231132950846e-05,4.605650320999667,0.4534906861458889,8.838879293320001e-05,8.94536681573205e-06
286,0.00024796787900669033,0.00014642508609691497,19.362073701000007,0.4849338962802228,0.00037500280000198,9.795524731157983e-06
287,7.984841611819586e-05,3.9564427330971996e-05,4.689754465199985,1.8638210665607995,8.988668302039929e-05,3.5976151909371105e-05
288,7.579502197617045e-05,2.585465600550342e-05,4.482004450799832,0.8717660671347809,8.574879082120281e-05,1.7396660551224532e-05
289,0.00015350716939787967,8.197744564078306e-05,9.550698768800066,6.047150569006748,0.00018418681401590002,0.00011697279608730158
